fname,date,M10_hour,M10_mean_activity,M10_actual_activity,L5_hour,L5_mean_activity,L5_actual_activity
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-09,1,30.244130303030303,30.443766666666665,14,29.7822375,29.186933333333332
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-10,9,53.517650757575765,194.47178333333335,15,29.373211111111107,30.469716666666667
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-11,12,157.5147128787879,345.8007666666666,1,74.05492916666667,59.002066666666664
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-12,15,71.07321212121211,211.94785,23,19.142515277777775,19.198583333333332
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-13,13,19.741740909090908,23.295716666666667,3,16.892290277777775,16.839883333333333
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-14,10,58.41616287878787,267.92356666666666,1,17.154718055555556,17.145483333333335
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-15,13,74.5128409090909,305.2886833333333,22,19.759918055555552,19.7393
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-16,7,20.64453787878788,20.954583333333336,15,20.38563888888889,20.360266666666668
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-17,7,33.0132196969697,117.98113333333335,16,19.992270833333333,20.27713333333333
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-18,7,59.25847803030304,240.00855,20,16.09864722222222,15.889833333333334
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-19,14,102.98320303030302,233.69715,21,78.84095555555555,79.56476666666667
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-20,4,82.7496462121212,85.18643333333333,15,79.68311527777777,79.06559999999999
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-21,8,78.20489469696972,85.63496666666667,18,59.756299999999996,42.31835
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-22,1,97.95376287878788,97.44568333333333,13,95.13638888888887,87.05205
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-23,6,99.91711363636364,101.32016666666667,17,98.30452083333333,98.01140000000001
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-24,9,101.71123712121212,103.15216666666667,20,100.6013236111111,100.33723333333334
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-25,12,100.66019545454546,102.62333333333332,21,99.44950972222222,99.04421666666667
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-26,12,100.24474924242425,101.50616666666666,21,99.51095138888888,99.26151666666667
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-27,10,109.65948712121212,178.3595,2,98.00043749999999,97.77586666666666
CD000test_left wrist_109418_2025-08-28 12-14-52_60s.csv,2025-08-28,12,102.31292307692307,102.31292307692307,0,102.31292307692306,102.31292307692307
