Period,Enright_Value,ChiSq_Qp,log_Pvalue
14,117.11524905567244,13.022517690610686,-0.8072707629915559
15,98.73548505441818,5.253155629235275,-0.018196407955295132
16,91.82623411165032,26.52917043923899,-3.416867882811737
17,70.69459526924915,15.67456218988326,-0.7425569795381006
18,57.421503088646716,12.029375862653843,-0.22520175119310415
19,56.114529996587805,22.585732511344904,-1.5749652909520853
20,39.52356260373722,18.558583658126086,-0.7226520240462535
21,35.785138583058306,19.178859900811073,-0.6728961196981293
22,29.449062726827083,14.144809517912318,-0.14699409691287077
23,42.76102080832373,36.78339290510134,-3.6895533915135728
24,60.23368054813557,81.36029776826831,-17.773896312758602
25,41.02008987958038,41.170224931052644,-4.1380062423913095
26,30.57029342104195,21.792845528662586,-0.4343643297504817
27,36.96940233049992,25.07748125793904,-0.6643795701031192
28,40.056826412426105,32.675922305225896,-1.5703350572035832
29,49.776341430813865,28.909200240897544,-0.874323134563832
30,40.058456027634925,17.384983199181566,-0.045145379166036934
31,45.04087465526658,15.762024784004899,-0.015450238455730025
32,58.47687456952492,38.20540874260597,-1.7446822270734514
33,57.0134087948966,34.992919059749866,-1.1152202599760237
34,60.47603897963968,35.14253798813917,-1.0025605754770144
